Driver,SpeedBin,G_mean,G_std,count
RUS,130.0,1.2742099898063195,0.5111831553077743,34
RUS,140.0,1.4140235547725981,0.4081509491162401,84
RUS,150.0,1.27420998980632,0.43535800958610615,176
RUS,160.0,1.1798240646354827,0.34032206475522886,245
RUS,170.0,1.132631102050062,0.36624731782264297,335
RUS,180.0,0.9910522142938036,0.3220484032867447,460
RUS,190.0,0.9438592517083859,0.30927576469450685,479
RUS,200.0,0.8494733265375455,0.2871619081482124,594
RUS,210.0,0.7078944387812887,0.24291282154597563,683
RUS,220.0,0.6194076339336273,0.2159650920169429,799
RUS,230.0,0.5505845634965556,0.22727293190893133,823
RUS,240.0,0.47192962585419396,0.21360508171290285,794
RUS,250.0,0.4129384226224182,0.19327969378068843,724
RUS,260.0,0.35394721939064544,0.14892744750706127,734
RUS,270.0,0.25741615955683306,0.11974793116335201,956
RUS,280.0,0.17752838590126416,0.10044444922398361,777
RUS,290.0,0.1415788877562618,0.07716368892210795,533
RUS,300.0,0.11847605669979461,0.0576482461512197,182
RUS,310.0,0.14157888775625457,0.07675461115005279,27
