Driver,SpeedBin,G_mean,G_std,count
NOR,130.0,0.9910522142938073,0.2853835386080977,13
NOR,140.0,1.2211179068977236,0.424160462279749,48
NOR,150.0,1.27420998980632,0.4234200237461552,154
NOR,160.0,1.1539345083582149,0.4005396968292232,247
NOR,170.0,1.132631102050062,0.3940800241284298,363
NOR,180.0,0.9910522142938036,0.3374570682189452,451
NOR,190.0,0.9101499927187998,0.3325187036544563,508
NOR,200.0,0.8494733265375491,0.3053762043624731,588
NOR,210.0,0.7078944387812908,0.2626390579974814,674
NOR,220.0,0.6194076339336273,0.24020873159697445,831
NOR,230.0,0.5663155510250291,0.23449217701933622,864
NOR,240.0,0.47192962585419396,0.18997922073260665,830
NOR,250.0,0.4045111078750233,0.1589240689348729,738
NOR,260.0,0.35394721939064544,0.14740715111795566,768
NOR,270.0,0.28315777551250915,0.11676367856484962,918
NOR,280.0,0.20225555393751166,0.0892335877504759,845
NOR,290.0,0.1415788877562618,0.06756986009928292,637
NOR,300.0,0.11798240646354548,0.04760728790692218,253
NOR,310.0,0.1415788877562618,0.05205936227233765,11
