Driver,SpeedBin,G_mean,G_std,count
VER,120.0,1.203420545928192,0.37457262859743407,25
VER,130.0,1.1798240646354818,0.5070563037090291,60
VER,140.0,1.3273020727149172,0.4981091131901011,128
VER,150.0,1.2181300407600104,0.45306156510252826,194
VER,160.0,1.1326311020500637,0.4346338630328865,272
VER,170.0,1.132631102050062,0.3808825798119494,371
VER,180.0,0.9910522142938036,0.3781629478948044,480
VER,190.0,0.8848680484766136,0.31918244223050163,545
VER,200.0,0.8494733265375455,0.2690014628516772,591
VER,210.0,0.7078944387812893,0.2817316310415967,671
VER,220.0,0.6292395011389232,0.22533181668915558,825
VER,230.0,0.5309208290859682,0.21232720903539387,947
VER,240.0,0.5056388848437766,0.17878427858482027,781
VER,250.0,0.4045111078750233,0.15304034785961296,760
VER,260.0,0.30338333090627007,0.1210014655588799,790
VER,270.0,0.2654604145429818,0.12057784482307364,933
VER,280.0,0.17697360969532724,0.0884821412858613,735
VER,290.0,0.14157888775625457,0.06324057574671368,517
VER,300.0,0.10112777696875842,0.05876869324385216,113
