Date,Status,X,Y,Z,Source,Time,SessionTime,RPM,Speed,nGear,Throttle,Brake,DRS,dt,Speed_ms,dv,G_long,G_lat
2024-03-01 16:19:34.416,OnTrack,2738.0,5317.0,-105.0,pos,0 days 00:32:55.220000,0 days 00:32:58.743000,9189.7624864,197.0,6,33.356238399999995,False,8,0.259,54.72222222222222,0.0,0.12942487202472822,-0.10062559662935733
2024-03-01 16:19:34.442,OnTrack,2739.213901391102,5328.525296729331,-105.11400069293063,car,0 days 00:32:55.246000,0 days 00:32:58.769000,9187.0,197.0,6,31.0,False,8,0.026,54.72222222222222,0.0,-0.1649018826496915,3.8084011297378266
2024-03-01 16:19:34.642,OnTrack,2748.5250033860266,5437.2348675147505,-106.85049611223141,car,0 days 00:32:55.446000,0 days 00:32:58.969000,9095.0,195.0,6,21.0,False,8,0.2,54.166666666666664,-0.5555555555555571,-0.3414090152125445,5.395415900763027
2024-03-01 16:19:34.656,OnTrack,2749.0,5446.0,-107.0,pos,0 days 00:32:55.460000,0 days 00:32:58.983000,9077.1498368,194.78999808,6,20.22999296,False,8,0.014,54.1083328,-0.058333866666664846,-0.42901985507375884,5.300728230665361
2024-03-01 16:19:34.842,OnTrack,2752.29230957044,5575.978260377751,-109.1967275804906,car,0 days 00:32:55.646000,0 days 00:32:59.169000,8840.0,192.0,6,10.0,False,8,0.186,53.33333333333333,-0.7749994666666709,-0.4566577316432624,4.164647633663949
2024-03-01 16:19:35.035,OnTrack,2751.0,5696.0,-111.0,pos,0 days 00:32:55.839000,0 days 00:32:59.362000,8676.485948444444,187.71110684444443,6,6.783330133333333,False,8,0.193,52.141974123456784,-1.1913592098765449,-0.4532459743309868,2.6274836239779464
2024-03-01 16:19:35.202,OnTrack,2746.98595409892,5753.285777899439,-111.44483595855435,car,0 days 00:32:56.006000,0 days 00:32:59.529000,8535.0,184.0,6,4.0,False,8,0.167,51.11111111111111,-1.0308630123456766,-0.5035756001005577,3.079499210618427
2024-03-01 16:19:35.315,OnTrack,2741.0,5791.0,-112.0,pos,0 days 00:32:56.119000,0 days 00:32:59.642000,8550.5375264,182.5874976,6,1.1749952000000001,False,8,0.113,50.718749333333335,-0.39236177777777215,-0.5220935151961337,3.273814306281133
2024-03-01 16:19:35.362,OnTrack,2737.4272701915206,5810.547815627249,-112.43870258281561,car,0 days 00:32:56.166000,0 days 00:32:59.689000,8557.0,182.0,6,0.0,True,8,0.047,50.55555555555556,-0.16319377777777788,-0.61094385199235,3.1316890282992227
2024-03-01 16:19:35.562,OnTrack,2716.518885846246,5908.911529490756,-114.89527327790137,car,0 days 00:32:56.366000,0 days 00:32:59.889000,8079.0,177.0,6,0.0,True,8,0.2,49.166666666666664,-1.3888888888888928,-0.7737539272997119,3.855869096970187
2024-03-01 16:19:35.575,OnTrack,2715.0,5915.0,-115.0,pos,0 days 00:32:56.379000,0 days 00:32:59.902000,8056.0871616,176.5124928,6,0.0,True,8,0.013,49.031248,-0.13541866666666635,-0.9220821815943493,4.938635511869864
2024-03-01 16:19:35.722,OnTrack,2696.6415052149373,5979.509211866397,-115.72566357495026,car,0 days 00:32:56.526000,0 days 00:33:00.049000,7797.0,171.0,6,0.0,True,8,0.147,47.5,-1.531247999999998,-1.1269320210638054,5.244163475719559
2024-03-01 16:19:35.755,OnTrack,2692.0,5994.0,-116.0,pos,0 days 00:32:56.559000,0 days 00:33:00.082000,7763.5873056,169.3499904,6,0.0,True,8,0.033,47.041664,-0.45833600000000274,-1.2601195002300838,5.097346249253645
2024-03-01 16:19:35.882,OnTrack,2671.4828589968074,6052.546706247244,-117.77990109786532,car,0 days 00:32:56.686000,0 days 00:33:00.209000,7635.0,163.0,6,0.0,True,8,0.127,45.27777777777778,-1.7638862222222187,-1.2486863141329494,4.7139600842593214
2024-03-01 16:19:35.895,OnTrack,2669.0,6059.0,-118.0,pos,0 days 00:32:56.699000,0 days 00:33:00.222000,7606.59458048,162.47999232,6,0.0,True,8,0.013,45.1333312,-0.14444657777777792,-1.1437856401827333,4.060093597295312
2024-03-01 16:19:36.082,OnTrack,2625.0863056359026,6161.218422434545,-121.57794681701212,car,0 days 00:32:56.886000,0 days 00:33:00.409000,7198.0,155.0,6,0.0,True,8,0.187,43.05555555555556,-2.0777756444444435,-0.9130568585345875,2.2954290175314
2024-03-01 16:19:36.175,OnTrack,2605.0,6204.0,-123.0,pos,0 days 00:32:56.979000,0 days 00:33:00.502000,7391.639685485714,153.00713874285714,6,0.0,True,8,0.093,42.50198298412698,-0.5535725714285746,-0.8191005363919164,2.772195915469717
2024-03-01 16:19:36.362,OnTrack,2577.77024380918,6255.056311735784,-124.31584968541432,car,0 days 00:32:57.166000,0 days 00:33:00.689000,7781.0,149.0,6,0.0,True,8,0.187,41.388888888888886,-1.1130940952380968,-0.9392990454965959,2.2764847826310737
2024-03-01 16:19:36.495,OnTrack,2560.0,6283.0,-125.0,pos,0 days 00:32:57.299000,0 days 00:33:00.822000,7897.375168,145.30555022222222,6,0.0,True,8,0.133,40.362652839506175,-1.0262360493827103,-1.0407455660997404,2.0561642943662246
2024-03-01 16:19:36.722,OnTrack,2518.193765731164,6344.705407138616,-127.19356018860353,car,0 days 00:32:57.526000,0 days 00:33:01.049000,8096.0,139.0,5,0.0,True,8,0.227,38.61111111111111,-1.7515417283950683,-0.9623867864853257,1.0637663531124806
2024-03-01 16:19:36.835,OnTrack,2484.0,6386.0,-129.0,pos,0 days 00:32:57.639000,0 days 00:33:01.162000,8081.1687248,131.2312368,5,0.0,True,8,0.113,36.453121333333335,-2.1579897777777717,-1.0147780539146387,2.125539499543189
2024-03-01 16:19:36.882,OnTrack,2466.1592124687118,6405.745115253461,-129.92024265568585,car,0 days 00:32:57.686000,0 days 00:33:01.209000,8075.0,128.0,4,0.0,True,8,0.047,35.55555555555556,-0.8975657777777784,-1.3344470080998527,2.1548427316354233
2024-03-01 16:19:37.035,OnTrack,2403.0,6471.0,-133.0,pos,0 days 00:32:57.839000,0 days 00:33:01.362000,8087.62251584,125.70499712,4,0.0,True,8,0.153,34.91805475555555,-0.6375008000000051,-1.4395426085060008,1.8980159032324906
2024-03-01 16:19:37.282,OnTrack,2342.8797440227618,6522.623611415961,-134.64653293423393,car,0 days 00:32:58.086000,0 days 00:33:01.609000,8108.0,122.0,3,0.0,True,8,0.247,33.888888888888886,-1.0291658666666663,-1.4434092147458553,1.7256063896458478
2024-03-01 16:19:37.416,OnTrack,2320.0,6538.0,-135.0,pos,0 days 00:32:58.220000,0 days 00:33:01.743000,7778.35968512,111.27998976,3,0.0,True,8,0.134,30.911108266666666,-2.9777806222222196,-1.3756375211021685,1.6424379548064292
2024-03-01 16:19:37.482,OnTrack,2308.8251563471767,6545.280181767456,-135.2606237292619,car,0 days 00:32:58.286000,0 days 00:33:01.809000,7616.0,106.0,3,0.0,True,8,0.066,29.444444444444443,-1.4666638222222232,-1.2628235272940707,1.3135060623278227
2024-03-01 16:19:37.762,OnTrack,2260.4149213293517,6574.110762689627,-136.74497628806728,car,0 days 00:32:58.566000,0 days 00:33:02.089000,6880.0,100.0,3,0.0,True,8,0.28,27.77777777777778,-1.6666666666666643,-1.249063744299208,0.9782162525012422
2024-03-01 16:19:37.875,OnTrack,2237.0,6585.0,-137.0,pos,0 days 00:32:58.679000,0 days 00:33:02.202000,6886.0031352,96.1156184,3,0.0,True,8,0.113,26.69878288888889,-1.0789948888888894,-1.2591110684153342,1.5723418198463208
2024-03-01 16:19:37.996,OnTrack,2209.0,6596.0,-137.0,pos,0 days 00:32:58.800000,0 days 00:33:02.323000,6892.4312568,91.9562456,3,0.0,True,8,0.121,25.543401555555555,-1.1553813333333345,-1.007252277158642,1.7307526880008592
2024-03-01 16:19:38.082,OnTrack,2188.6796918524624,6602.579422406537,-137.096841842772,car,0 days 00:32:58.886000,0 days 00:33:02.409000,6897.0,89.0,3,0.0,True,8,0.086,24.72222222222222,-0.8211793333333333,-0.622854910842367,1.9655670212570018
2024-03-01 16:19:38.282,OnTrack,2140.9871935912615,6612.80931330519,-137.7535129243105,car,0 days 00:32:59.086000,0 days 00:33:02.609000,7128.0,86.0,3,0.0,True,8,0.2,23.88888888888889,-0.8333333333333321,-0.49798384061873474,2.483848172902146
2024-03-01 16:19:38.336,OnTrack,2128.0,6614.0,-138.0,pos,0 days 00:32:59.140000,0 days 00:33:02.663000,7017.2997376,85.3249984,3,0.0,True,8,0.054,23.701388444444444,-0.1875004444444457,-0.5227409374975832,2.805867513408996
2024-03-01 16:19:38.442,OnTrack,2102.4205115511413,6614.299827244168,-138.55964717410862,car,0 days 00:32:59.246000,0 days 00:33:02.769000,6800.0,84.0,2,0.0,True,8,0.106,23.333333333333332,-0.36805511111111144,-0.3898787440149842,-2.70615809625317
2024-03-01 16:19:38.516,OnTrack,2086.0,6613.0,-139.0,pos,0 days 00:32:59.320000,0 days 00:33:02.843000,6800.0,83.0749984,2,0.0,True,8,0.074,23.076388444444444,-0.25694488888888856,-0.3281643873787786,4.332374558092407
2024-03-01 16:19:39.496,OnTrack,1933.0,6493.0,-141.0,pos,0 days 00:33:00.300000,0 days 00:33:03.823000,6380.092929828572,73.04285622857142,2,12.09286582857143,False,8,0.134,20.289682285714285,-0.26587326984126847,-0.09707285338479067,5.003891128324249
